USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 185372  4416 ?        Ss   Apr05   0:05 /sbin/init splash
root      7672  0.0  0.0      0     0 ?        S    09:50   0:00 [kworker/9:1]
root      8259  0.0  0.0      0     0 ?        S    06:23   0:00 [kworker/4:1]
root     11833  0.0  0.0      0     0 ?        S    Apr11   0:00 [kworker/10:0]
root     18964  0.0  0.0      0     0 ?        S    Apr14   0:00 [kworker/2:1]
root     19302  0.0  0.0  93276  7536 ?        Ss   07:35   0:00 /usr/sbin/cupsd -l
root     19303  0.0  0.0 274816  9708 ?        Ssl  07:35   0:00 /usr/sbin/cups-browsed
root     19423  0.0  0.0      0     0 ?        S    07:35   0:01 [kworker/0:0]
root     20044  0.0  0.0  95004  7136 ?        Ss   14:41   0:00 sshd: akkaa949 [priv]
akkaa949 20046  0.0  0.0  45276  4584 ?        Ss   14:41   0:00 /lib/systemd/systemd --user
akkaa949 20047  0.0  0.0 210916  1664 ?        S    14:41   0:00 (sd-pam)
akkaa949 20096  0.0  0.0  95004  3404 ?        S    14:41   0:00 sshd: akkaa949@pts/8
akkaa949 20097  0.0  0.0  22664  5212 pts/8    Ss   14:41   0:00 -bash
root     20928  0.0  0.0      0     0 ?        S    Apr13   0:00 [kworker/11:1]
root     21117  0.0  0.0      0     0 ?        S    Apr14   0:00 [kworker/2:0]
root     21134  0.0  0.0      0     0 ?        S    00:46   0:00 [kworker/1:0]
root     22437  0.0  0.0      0     0 ?        S    14:55   0:00 [kworker/u24:2]
akkaa949 23370  0.0  0.1 207792 56048 pts/8    S+   15:01   0:00 /home/akkaa949/miniconda3/bin/python /home/akkaa949/miniconda3/bin/ipython notebook --no-browser --port=8889
root     24728  0.0  0.0      0     0 ?        S    Apr13   0:00 [kworker/3:0]
root     24827  0.0  0.0      0     0 ?        S    Apr14   0:00 [kworker/5:1]
root     24854  0.0  0.0      0     0 ?        S    Apr14   0:00 [kworker/1:1]
root     24857  0.0  0.0      0     0 ?        S    Apr14   0:00 [kworker/10:2]
root     26796  0.0  0.0      0     0 ?        S    15:23   0:00 [kworker/u24:0]
root     26831  0.0  0.0      0     0 ?        S    Apr12   0:00 [kworker/5:2]
root     27574  0.0  0.0  52312  2936 ?        S    15:29   0:00 /usr/sbin/CRON -f
wolfm2   27576  0.0  0.0   4504   692 ?        Ss   15:29   0:00 /bin/sh -c /home/wolfm2/job.sh
wolfm2   27578  0.0  0.0  12544  2980 ?        S    15:29   0:00 /bin/bash /home/wolfm2/job.sh
wolfm2   27618 37.0  0.3 714824 107312 ?       Sl   15:29   0:00 /home/wolfm2/anaconda3/bin/python /home/wolfm2/jobin/main.py
wolfm2   27639 49.0  0.1 660432 55724 ?        Ssl  15:29   0:00 /home/wolfm2/anaconda3/bin/python -m ipykernel_launcher -f /tmp/tmp123ccw6c.json
wolfm2   27657  0.0  0.0   4504   756 ?        S    15:29   0:00 sh -c ps aux > tst.txt
wolfm2   27658  0.0  0.0  37364  3284 ?        R    15:29   0:00 ps aux
root     31616  0.0  0.0      0     0 ?        S    Apr13   0:00 [kworker/8:1]
